YEAR,CNN,FAC_NAME,COUNTY,STATIONS,PROF_NP,CHAIN_OWN,CHAIN_ORG,SURVEY_COUNT,SURVEY_RATE,FAC_STAR,XP_STAR,COMM_SCR,QUALITY_SCR,INFO_SCR,PHYS_SCR,STAFF_SCR,FAC_SCR
2022,52334,Arrowhead Regional Medical Center,San Bernardino,8,non_profit,no,Independent,32,,5,,73.0,86.0,81.0,80.0,92.0,93.0
2021,52334,Arrowhead Regional Medical Center,San Bernardino,8,non_profit,no,Independent,,,,,,,,,,
2020,52334,Arrowhead Regional Medical Center,San Bernardino,8,non_profit,no,Independent,,,,,,,,,,
2019,52334,Arrowhead Regional Medical Center,San Bernardino,8,non_profit,no,Independent,,,,,,,,,,
2024,52380,Kaiser Foundation Hospital Medical Ctr.- Fontana,San Bernardino,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2023,52380,Kaiser Foundation Hospital Medical Ctr.- Fontana,San Bernardino,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2022,52380,Kaiser Foundation Hospital Medical Ctr.- Fontana,San Bernardino,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2021,52380,Kaiser Foundation Hospital Medical Ctr.- Fontana,San Bernardino,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2020,52380,Kaiser Foundation Hospital Medical Ctr.- Fontana,San Bernardino,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2019,52380,Kaiser Foundation Hospital Medical Ctr.- Fontana,San Bernardino,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2018,52380,Kaiser Foundation Hospital Medical Ctr.- Fontana,San Bernardino,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2024,52381,Kaiser Foundation Hospital Medical Ctr.- Woodland Hills,Los Angeles,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2023,52381,Kaiser Foundation Hospital Medical Ctr.- Woodland Hills,Los Angeles,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2022,52381,Kaiser Foundation Hospital Medical Ctr.- Woodland Hills,Los Angeles,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2021,52381,Kaiser Foundation Hospital Medical Ctr.- Woodland Hills,Los Angeles,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2020,52381,Kaiser Foundation Hospital Medical Ctr.- Woodland Hills,Los Angeles,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2019,52381,Kaiser Foundation Hospital Medical Ctr.- Woodland Hills,Los Angeles,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2024,52382,Kaiser Foundation Hospital Medical Ctr.- Riverside,Riverside,4,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2023,52382,Kaiser Foundation Hospital Medical Ctr.- Riverside,Riverside,4,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2022,52382,Kaiser Foundation Hospital Medical Ctr.- Riverside,Riverside,4,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2021,52382,Kaiser Foundation Hospital Medical Ctr.- Riverside,Riverside,4,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2020,52382,Kaiser Foundation Hospital Medical Ctr.- Riverside,Riverside,4,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2019,52382,Kaiser Foundation Hospital Medical Ctr.- Riverside,Riverside,4,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2024,52384,Kaiser Foundation Hospital Medical Ctr.- West Los Angeles,Los Angeles,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2023,52384,Kaiser Foundation Hospital Medical Ctr.- West Los Angeles,Los Angeles,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2022,52384,Kaiser Foundation Hospital Medical Ctr.- West Los Angeles,Los Angeles,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2021,52384,Kaiser Foundation Hospital Medical Ctr.- West Los Angeles,Los Angeles,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2020,52384,Kaiser Foundation Hospital Medical Ctr.- West Los Angeles,Los Angeles,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2019,52384,Kaiser Foundation Hospital Medical Ctr.- West Los Angeles,Los Angeles,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2024,52389,Kaiser Foundation Hospital Medical Ctr.- Downey,Los Angeles,6,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2023,52389,Kaiser Foundation Hospital Medical Ctr.- Downey,Los Angeles,6,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2022,52389,Kaiser Foundation Hospital Medical Ctr.- Downey,Los Angeles,6,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2021,52389,Kaiser Foundation Hospital Medical Ctr.- Downey,Los Angeles,6,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2020,52389,Kaiser Foundation Hospital Medical Ctr.- Downey,Los Angeles,6,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2019,52389,Kaiser Foundation Hospital Medical Ctr.- Downey,Los Angeles,6,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2024,52390,LUCILE PACKARD STANFORD PEDIATRIC DIALYSIS,Santa Clara,6,non_profit,no,Independent,,,,,,,,,,
2023,52390,LUCILE PACKARD STANFORD PEDIATRIC DIALYSIS,Santa Clara,6,non_profit,no,Independent,,,,,,,,,,
2022,52390,LUCILE PACKARD STANFORD PEDIATRIC DIALYSIS,Santa Clara,6,non_profit,no,Independent,,,,,,,,,,
2021,52390,LUCILE PACKARD STANFORD PEDIATRIC DIALYSIS,Santa Clara,6,non_profit,no,Independent,,,,,,,,,,
2020,52390,LUCILE PACKARD STANFORD PEDIATRIC DIALYSIS,Santa Clara,6,non_profit,no,Independent,,,,,,,,,,
2019,52390,LUCILE PACKARD STANFORD PEDIATRIC DIALYSIS,Santa Clara,6,non_profit,no,Independent,,,,,,,,,,
2024,52392,KAISER PERMANENTE - SANTA CLARA,Santa Clara,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2023,52392,KAISER PERMANENTE - SANTA CLARA,Santa Clara,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2022,52392,KAISER PERMANENTE - SANTA CLARA,Santa Clara,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2021,52392,KAISER PERMANENTE - SANTA CLARA,Santa Clara,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2020,52392,KAISER PERMANENTE - SANTA CLARA,Santa Clara,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2019,52392,KAISER PERMANENTE - SANTA CLARA,Santa Clara,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2024,52394,Kaiser Foundation Hospital Medical Ctr.- Anaheim,Orange,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2023,52394,Kaiser Foundation Hospital Medical Ctr.- Anaheim,Orange,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2022,52394,Kaiser Foundation Hospital Medical Ctr.- Anaheim,Orange,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2021,52394,Kaiser Foundation Hospital Medical Ctr.- Anaheim,Orange,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2020,52394,Kaiser Foundation Hospital Medical Ctr.- Anaheim,Orange,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2019,52394,Kaiser Foundation Hospital Medical Ctr.- Anaheim,Orange,5,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2024,52395,Childrens Hospital of San Diego,San Diego,5,non_profit,no,Independent,,,,,,,,,,
2023,52395,Childrens Hospital of San Diego,San Diego,5,non_profit,no,Independent,,,,,,,,,,
2022,52395,Childrens Hospital of San Diego,San Diego,5,non_profit,no,Independent,,,,,,,,,,
2021,52395,Childrens Hospital of San Diego,San Diego,5,non_profit,no,Independent,,,,,,,,,,
2020,52395,Childrens Hospital of San Diego,San Diego,5,non_profit,no,Independent,,,,,,,,,,
2019,52395,Childrens Hospital of San Diego,San Diego,5,non_profit,no,Independent,,,,,,,,,,
2024,52398,KAISER HOSPITAL ESRD PD UNIT,Alameda,0,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2023,52398,KAISER HOSPITAL ESRD PD UNIT,Alameda,0,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2022,52398,KAISER HOSPITAL ESRD PD UNIT,Alameda,0,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2021,52398,KAISER HOSPITAL ESRD PD UNIT,Alameda,0,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2020,52398,KAISER HOSPITAL ESRD PD UNIT,Alameda,0,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2019,52398,KAISER HOSPITAL ESRD PD UNIT,Alameda,0,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2018,52398,KAISER HOSPITAL ESRD PD UNIT,Alameda,0,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2024,52399,Kaiser Foundation Hospital Medical Ctr.- Baldwin Park,Los Angeles,6,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2023,52399,Kaiser Foundation Hospital Medical Ctr.- Baldwin Park,Los Angeles,6,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2022,52399,Kaiser Foundation Hospital Medical Ctr.- Baldwin Park,Los Angeles,6,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2021,52399,Kaiser Foundation Hospital Medical Ctr.- Baldwin Park,Los Angeles,6,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2020,52399,Kaiser Foundation Hospital Medical Ctr.- Baldwin Park,Los Angeles,6,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2019,52399,Kaiser Foundation Hospital Medical Ctr.- Baldwin Park,Los Angeles,6,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2024,52403,KAISER PERMANENTE MARTINEZ,Contra Costa,0,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2023,52403,KAISER PERMANENTE MARTINEZ,Contra Costa,0,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2022,52403,KAISER PERMANENTE MARTINEZ,Contra Costa,0,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2021,52403,KAISER PERMANENTE MARTINEZ,Contra Costa,0,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2020,52403,KAISER PERMANENTE MARTINEZ,Contra Costa,0,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2019,52403,KAISER PERMANENTE MARTINEZ,Contra Costa,0,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2024,52404,Kaiser Foundation Hospital Medical Ctr.- Ontario,San Bernardino,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2023,52404,Kaiser Foundation Hospital Medical Ctr.- Ontario,San Bernardino,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2022,52404,Kaiser Foundation Hospital Medical Ctr.- Ontario,San Bernardino,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2021,52404,Kaiser Foundation Hospital Medical Ctr.- Ontario,San Bernardino,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2020,52404,Kaiser Foundation Hospital Medical Ctr.- Ontario,San Bernardino,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2019,52404,Kaiser Foundation Hospital Medical Ctr.- Ontario,San Bernardino,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2018,52404,Kaiser Foundation Hospital Medical Ctr.- Ontario,San Bernardino,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2024,52405,UC Davis Medical Center Pediatric,Sacramento,0,non_profit,no,Independent,,,,,,,,,,
2023,52405,UC Davis Medical Center Pediatric,Sacramento,0,non_profit,no,Independent,,,,,,,,,,
2022,52405,UC Davis Medical Center Pediatric,Sacramento,0,non_profit,no,Independent,,,,,,,,,,
2021,52405,UC Davis Medical Center Pediatric,Sacramento,0,non_profit,no,Independent,,,,,,,,,,
2020,52405,UC Davis Medical Center Pediatric,Sacramento,0,non_profit,no,Independent,,,,,,,,,,
2019,52405,UC Davis Medical Center Pediatric,Sacramento,0,non_profit,no,Independent,,,,,,,,,,
2018,52405,UC Davis Medical Center Pediatric,Sacramento,0,non_profit,no,Independent,,,,,,,,,,
2024,52406,Loma Linda University Children's Hospital Pediatric Chronic Dialysis,San Bernardino,5,non_profit,no,Independent,,,,,,,,,,
2023,52406,Loma Linda University Children's Hospital Pediatric Chronic Dialysis,San Bernardino,5,non_profit,no,Independent,,,,,,,,,,
2022,52406,Loma Linda University Children's Hospital Pediatric Chronic Dialysis,San Bernardino,5,non_profit,no,Independent,,,,,,,,,,
2021,52406,Loma Linda University Children's Hospital Pediatric Chronic Dialysis,San Bernardino,5,non_profit,no,Independent,,,,,,,,,,
2020,52406,Loma Linda University Children's Hospital Pediatric Chronic Dialysis,San Bernardino,5,non_profit,no,Independent,,,,,,,,,,
2019,52406,Loma Linda University Children's Hospital Pediatric Chronic Dialysis,San Bernardino,5,non_profit,no,Independent,,,,,,,,,,
2018,52406,Loma Linda University Children's Hospital Pediatric Chronic Dialysis,San Bernardino,5,non_profit,no,Independent,,,,,,,,,,
2024,52407,Kaiser Foundation Hospital Medical Ctr.- Moreno Valley,Riverside,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2023,52407,Kaiser Foundation Hospital Medical Ctr.- Moreno Valley,Riverside,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2022,52407,Kaiser Foundation Hospital Medical Ctr.- Moreno Valley,Riverside,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2021,52407,Kaiser Foundation Hospital Medical Ctr.- Moreno Valley,Riverside,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2020,52407,Kaiser Foundation Hospital Medical Ctr.- Moreno Valley,Riverside,3,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2024,52500,HILLCREST DIALYSIS CENTER,San Diego,20,profit,yes,Fresenius Medical Care,42,27,3,4,86.0,82.0,85.0,86.0,88.0,85.0
2023,52500,HILLCREST DIALYSIS CENTER,San Diego,20,profit,yes,Fresenius Medical Care,45,30,3,4,84.0,82.0,82.0,84.0,86.0,86.0
2022,52500,HILLCREST DIALYSIS CENTER,San Diego,20,profit,yes,Fresenius Medical Care,,,,,,,,,,
2021,52500,HILLCREST DIALYSIS CENTER,San Diego,20,profit,yes,Fresenius Medical Care,35,,5,,87.0,82.0,77.0,90.0,90.0,91.0
2020,52500,HILLCREST DIALYSIS CENTER,San Diego,20,profit,yes,Fresenius Medical Care,35,,5,,87.0,82.0,77.0,90.0,90.0,91.0
2019,52500,HILLCREST DIALYSIS CENTER,San Diego,20,profit,yes,Fresenius Medical Care,33,,3,,81.0,79.0,76.0,84.0,85.0,85.0
2018,52500,HILLCREST DIALYSIS CENTER,San Diego,20,profit,yes,Fresenius Medical Care,30,,1,,80.0,69.0,70.0,79.0,76.0,75.0
2024,52502,DaVita Kidney Dialysis Care Unit,Los Angeles,40,profit,yes,DaVita,59,24,4,4,84.0,88.0,83.0,86.0,92.0,91.0
2023,52502,DaVita Kidney Dialysis Care Unit,Los Angeles,40,profit,yes,DaVita,56,22,5,4,81.0,87.0,83.0,83.0,92.0,93.0
2022,52502,DaVita Kidney Dialysis Care Unit,Los Angeles,40,profit,yes,DaVita,45,,3,,80.0,79.0,84.0,80.0,83.0,84.0
2021,52502,DaVita Kidney Dialysis Care Unit,Los Angeles,40,profit,yes,DaVita,89,,3,,71.0,78.0,79.0,79.0,86.0,85.0
2020,52502,DaVita Kidney Dialysis Care Unit,Los Angeles,40,profit,yes,DaVita,89,,3,,71.0,78.0,79.0,79.0,86.0,85.0
2019,52502,DaVita Kidney Dialysis Care Unit,Los Angeles,40,profit,yes,DaVita,101,,2,,73.0,79.0,79.0,79.0,84.0,84.0
2018,52502,DaVita Kidney Dialysis Care Unit,Los Angeles,40,profit,yes,DaVita,121,,2,,67.0,76.0,73.0,73.0,82.0,82.0
2024,52503,DaVita Mainplace Dialysis Center,Orange,36,profit,yes,DaVita,64,27,3,3,81.0,79.0,81.0,82.0,87.0,86.0
2023,52503,DaVita Mainplace Dialysis Center,Orange,36,profit,yes,DaVita,70,27,3,4,82.0,78.0,79.0,86.0,89.0,85.0
2022,52503,DaVita Mainplace Dialysis Center,Orange,36,profit,yes,DaVita,50,,5,,81.0,84.0,87.0,88.0,93.0,94.0
2021,52503,DaVita Mainplace Dialysis Center,Orange,36,profit,yes,DaVita,72,,4,,77.0,78.0,81.0,84.0,89.0,89.0
2020,52503,DaVita Mainplace Dialysis Center,Orange,36,profit,yes,DaVita,72,,4,,77.0,78.0,81.0,84.0,89.0,89.0
2019,52503,DaVita Mainplace Dialysis Center,Orange,36,profit,yes,DaVita,95,,3,,79.0,78.0,84.0,84.0,87.0,88.0
2018,52503,DaVita Mainplace Dialysis Center,Orange,36,profit,yes,DaVita,83,,3,,83.0,81.0,85.0,85.0,90.0,88.0
2024,52505,DaVita Fullerton Dialysis,Orange,25,profit,yes,DaVita,42,23,4,4,79.0,82.0,81.0,82.0,90.0,90.0
2023,52505,DaVita Fullerton Dialysis,Orange,25,profit,yes,DaVita,51,28,4,4,79.0,81.0,79.0,87.0,88.0,90.0
2022,52505,DaVita Fullerton Dialysis,Orange,25,profit,yes,DaVita,51,,5,,87.0,89.0,89.0,88.0,95.0,95.0
2021,52505,DaVita Fullerton Dialysis,Orange,25,profit,yes,DaVita,67,,4,,87.0,83.0,89.0,89.0,90.0,90.0
2020,52505,DaVita Fullerton Dialysis,Orange,25,profit,yes,DaVita,67,,4,,87.0,83.0,89.0,89.0,90.0,90.0
2019,52505,DaVita Fullerton Dialysis,Orange,25,profit,yes,DaVita,79,,3,,81.0,79.0,79.0,79.0,83.0,87.0
2018,52505,DaVita Fullerton Dialysis,Orange,25,profit,yes,DaVita,86,,3,,78.0,78.0,78.0,82.0,85.0,87.0
2024,52513,SANTA BARBARA COMMUNITY DIALYSIS CENTER,Santa Barbara,14,profit,yes,Fresenius Medical Care,44,30,2,2,73.0,79.0,71.0,77.0,82.0,81.0
2023,52513,SANTA BARBARA COMMUNITY DIALYSIS CENTER,Santa Barbara,14,profit,yes,Fresenius Medical Care,48,33,2,3,75.0,81.0,80.0,82.0,85.0,83.0
2022,52513,SANTA BARBARA COMMUNITY DIALYSIS CENTER,Santa Barbara,14,profit,yes,Fresenius Medical Care,41,,3,,84.0,82.0,80.0,88.0,89.0,87.0
2021,52513,SANTA BARBARA COMMUNITY DIALYSIS CENTER,Santa Barbara,14,profit,yes,Fresenius Medical Care,32,,4,,81.0,83.0,85.0,85.0,90.0,90.0
2020,52513,SANTA BARBARA COMMUNITY DIALYSIS CENTER,Santa Barbara,14,profit,yes,Fresenius Medical Care,32,,4,,81.0,83.0,85.0,85.0,90.0,90.0
2019,52513,SANTA BARBARA COMMUNITY DIALYSIS CENTER,Santa Barbara,14,profit,yes,Fresenius Medical Care,,,,,,,,,,
2018,52513,SANTA BARBARA COMMUNITY DIALYSIS CENTER,Santa Barbara,14,profit,yes,Fresenius Medical Care,34,,4,,71.0,87.0,73.0,79.0,82.0,91.0
2024,52514,Satellite Healthcare Stevens Creek,Santa Clara,42,non_profit,yes,Satellite Healthcare,46,22,4,4,85.0,89.0,83.0,87.0,90.0,90.0
2023,52514,Satellite Healthcare Stevens Creek,Santa Clara,42,non_profit,yes,Satellite Healthcare,40,20,3,4,90.0,88.0,83.0,90.0,87.0,88.0
2022,52514,Satellite Healthcare Stevens Creek,Santa Clara,42,non_profit,yes,Satellite Healthcare,41,,4,,88.0,86.0,78.0,93.0,87.0,89.0
2021,52514,Satellite Healthcare Stevens Creek,Santa Clara,42,non_profit,yes,Satellite Healthcare,55,,4,,86.0,80.0,80.0,92.0,85.0,88.0
2020,52514,Satellite Healthcare Stevens Creek,Santa Clara,42,non_profit,yes,Satellite Healthcare,55,,4,,86.0,80.0,80.0,92.0,85.0,88.0
2019,52514,Satellite Healthcare Stevens Creek,Santa Clara,42,non_profit,yes,Satellite Healthcare,71,,4,,92.0,84.0,85.0,94.0,89.0,92.0
2018,52514,Satellite Healthcare Stevens Creek,Santa Clara,42,non_profit,yes,Satellite Healthcare,90,,4,,87.0,79.0,80.0,91.0,86.0,90.0
2024,52515,USRC LOS ALAMITOS DIALYSIS,Orange,32,profit,yes,"US Renal Care, Inc.",34,27,4,4,88.0,86.0,77.0,89.0,90.0,91.0
2023,52515,USRC LOS ALAMITOS DIALYSIS,Orange,32,profit,yes,"US Renal Care, Inc.",33,26,4,4,86.0,81.0,78.0,91.0,87.0,91.0
2022,52515,USRC LOS ALAMITOS DIALYSIS,Orange,32,profit,yes,"US Renal Care, Inc.",,,,,,,,,,
2021,52515,USRC LOS ALAMITOS DIALYSIS,Orange,32,profit,yes,"US Renal Care, Inc.",39,,5,,83.0,84.0,70.0,90.0,91.0,92.0
2020,52515,USRC LOS ALAMITOS DIALYSIS,Orange,32,profit,yes,"US Renal Care, Inc.",39,,5,,83.0,84.0,70.0,90.0,91.0,92.0
2019,52515,USRC LOS ALAMITOS DIALYSIS,Orange,32,profit,yes,"US Renal Care, Inc.",36,,4,,91.0,86.0,79.0,90.0,91.0,92.0
2018,52515,USRC LOS ALAMITOS DIALYSIS,Orange,32,profit,yes,"US Renal Care, Inc.",56,,4,,86.0,86.0,75.0,86.0,89.0,89.0
2024,52521,DaVita Antelope Valley Dialysis,Los Angeles,30,profit,yes,DaVita,52,22,3,4,79.0,83.0,78.0,83.0,90.0,88.0
2023,52521,DaVita Antelope Valley Dialysis,Los Angeles,30,profit,yes,DaVita,54,23,2,3,74.0,79.0,79.0,79.0,85.0,82.0
2022,52521,DaVita Antelope Valley Dialysis,Los Angeles,30,profit,yes,DaVita,51,,3,,80.0,79.0,72.0,80.0,85.0,87.0
2021,52521,DaVita Antelope Valley Dialysis,Los Angeles,30,profit,yes,DaVita,69,,2,,73.0,74.0,77.0,80.0,78.0,79.0
2020,52521,DaVita Antelope Valley Dialysis,Los Angeles,30,profit,yes,DaVita,69,,2,,73.0,74.0,77.0,80.0,78.0,79.0
2019,52521,DaVita Antelope Valley Dialysis,Los Angeles,30,profit,yes,DaVita,89,,3,,80.0,78.0,81.0,84.0,84.0,85.0
2018,52521,DaVita Antelope Valley Dialysis,Los Angeles,30,profit,yes,DaVita,102,,1,,70.0,68.0,73.0,77.0,78.0,79.0
2024,52522,"Mobile Dialysis Services, Inc. (Compton)",Los Angeles,36,profit,no,Independent,,,,,,,,,,
2023,52522,"Mobile Dialysis Services, Inc. (Compton)",Los Angeles,36,profit,no,Independent,,,,,,,,,,
2022,52522,"Mobile Dialysis Services, Inc. (Compton)",Los Angeles,36,profit,no,Independent,,,,,,,,,,
2021,52522,"Mobile Dialysis Services, Inc. (Compton)",Los Angeles,36,profit,no,Independent,30,,4,,75.0,76.0,73.0,79.0,86.0,87.0
2020,52522,"Mobile Dialysis Services, Inc. (Compton)",Los Angeles,36,profit,no,Independent,30,,4,,75.0,76.0,73.0,79.0,86.0,87.0
2019,52522,"Mobile Dialysis Services, Inc. (Compton)",Los Angeles,36,profit,no,Independent,,,,,,,,,,
2018,52522,"Mobile Dialysis Services, Inc. (Compton)",Los Angeles,36,profit,no,Independent,,,,,,,,,,
2024,52523,BIO-MEDICAL LONG BEACH COMMUNITY HEMODIALYSIS UNIT,Los Angeles,16,profit,yes,Fresenius Medical Care,32,20,3,3,77.0,78.0,78.0,80.0,83.0,86.0
2023,52523,BIO-MEDICAL LONG BEACH COMMUNITY HEMODIALYSIS UNIT,Los Angeles,16,profit,yes,Fresenius Medical Care,35,21,3,4,84.0,80.0,82.0,86.0,85.0,88.0
2022,52523,BIO-MEDICAL LONG BEACH COMMUNITY HEMODIALYSIS UNIT,Los Angeles,16,profit,yes,Fresenius Medical Care,31,,4,,82.0,77.0,81.0,83.0,82.0,89.0
