County,Eligible,"Total 
Registered",Democratic,Republican,"American 
Independent",Green,Libertarian,"Peace and 
Freedom",Unknown,Other,"No Party 
Preference"
Percent,,55.51%,31.45%,36.38%,5.71%,1.05%,1.85%,0.73%,0.86%,0.85%,21.12%
,,,,,,,,,,,
Tulare,"287,885","208,863","69,963","77,554","9,109",666,"2,483","1,438","1,680","1,565","44,405"
Percent,,72.55%,33.50%,37.13%,4.36%,0.32%,1.19%,0.69%,0.80%,0.75%,21.26%
,,,,,,,,,,,
Tuolumne,"43,682","35,355","10,273","15,551","1,938",146,626,140,10,60,"6,611"
Percent,,80.94%,29.06%,43.99%,5.48%,0.41%,1.77%,0.40%,0.03%,0.17%,18.70%
,,,,,,,,,,,
Ventura,"584,861","505,110","220,831","141,866","19,171","2,066","5,706","2,273","2,958","5,634","104,605"
Percent,,86.36%,43.72%,28.09%,3.80%,0.41%,1.13%,0.45%,0.59%,1.12%,20.71%
,,,,,,,,,,,
Yolo,"155,109","118,797","60,978","23,430","4,181",707,"1,290",564,9,160,"27,478"
Percent,,76.59%,51.33%,19.72%,3.52%,0.60%,1.09%,0.47%,0.01%,0.13%,23.13%
,,,,,,,,,,,
Yuba,"56,463","41,212","11,805","16,175","2,326",165,671,294,380,393,"9,003"
Percent,,72.99%,28.64%,39.25%,5.64%,0.40%,1.63%,0.71%,0.92%,0.95%,21.85%
,,,,,,,,,,,
State Total,"26,876,800","21,940,274","10,283,258","5,232,094","777,152","96,229","231,459","123,037","109,491","143,858","4,943,696"
Percent,,81.63%,46.87%,23.85%,3.54%,0.44%,1.05%,0.56%,0.50%,0.66%,22.53%
,,,,,,,,,,,
,,,,,,,,,,,
