"CMS Certification Number (CCN)","Network","Facility Name","Address Line 1","Address Line 2","City/Town","State","ZIP Code","County/Parish","Telephone Number","Profit or Non-Profit","Chain Owned","Chain Organization","ICH-CAHPS date","ICH-CAHPS data availability code","Lower box percent of patients-nephrologists' communication and caring","Middle box percent of patients-nephrologists' communication and caring","Top box percent of patients-nephrologists' communication and caring","Linearized score of nephrologists' communication and caring","Star rating of nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Star rating of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients- providing information to patients","Linearized score of providing information to patients","Star rating of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Star rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Star rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Star rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","ICH CAHPS Survey of patients' experiences star rating","Survey response rate"
012520,8,FKC TROY,606 BOTTS AVE,,TROY,AL,36081,Pike,(334) 434-5193,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012521,8,DCI DOTHAN,1630 COLUMBIA HWY,,Dothan,AL,36303,Houston,(334) 793-3519,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,001,11,15,74,87,4,15,19,66,83,4,18,82,82,4,8,26,66,87,4,13,22,65,87,3,8,16,76,90,4,60,4,34
012522,8,FMC HUNTSVILLE,2325 PANSY STREET,SUITE C,HUNTSVILLE,AL,35801,Madison,(256) 536-1897,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012523,8,DaVita Phenix City Dialysis Center,4391 RIVERCHASE DRIVE,,PHENIX CITY,AL,36867,Russell,(334) 298-0294,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,17,14,69,81,3,20,19,61,78,3,22,78,78,3,8,25,67,87,4,6,38,56,88,4,3,15,82,93,5,41,4,33
012524,8,FMC EAST MOBILE,1217 GOVERNMENT ST,,MOBILE,AL,36604,Mobile,(251) 438-6917,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,19,18,63,80,3,13,19,68,84,4,17,83,83,4,9,37,54,85,4,4,31,65,89,4,7,23,70,89,3,51,4,37
012525,8,FMC WEST MOBILE,6601 WALL STREET,SUITE A,MOBILE,AL,36695,Mobile,(251) 633-2681,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,22,12,66,80,3,22,15,63,78,3,18,82,82,4,17,30,53,83,4,15,22,63,87,3,10,14,76,91,4,32,4,25
012526,8,RCG PRINCETON,708 COTTON AVE SW,,BIRMINGHAM,AL,35211,Jefferson,(205) 785-3500,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012527,8,DCI ENTERPRISE,3861 SALEM ROAD,,ENTERPRISE,AL,36330,Coffee,(334) 347-8233,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,001,12,9,79,88,5,13,9,78,87,5,11,89,89,5,7,14,79,92,5,8,14,78,91,4,9,11,80,92,4,39,5,38
012528,8,FMC CAHABA VALLEY,120 CAHABA VALLEY PARKWAY,Suite 150,PELHAM,AL,35124,Shelby,(205) 988-0469,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012529,8,DaVita Florence Dialysis,422 EAST DR. HICKS BLVD,STE B,FLORENCE,AL,35630,Lauderdale,(256) 764-5050,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012530,8,FKC E 11 Street - Anniston,522 EAST 11TH STREET,1ST FLOOR,ANNISTON,AL,36207,Calhoun,(256) 237-7566,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,17,13,70,83,3,21,17,62,79,3,18,82,82,4,15,17,68,88,5,6,36,58,84,2,10,32,58,85,3,32,3,30
012531,8,FMC JACKSON (TOMBIGBEE),215 WALKER SPRINGS RD,,JACKSON,AL,36545,Clarke,(251) 246-6667,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012532,8,DCI EUFAULA,123 A EAST BARBOUR STREET,,EUFAULA,AL,36027,Barbour,(334) 687-7071,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012533,8,DaVita Walker County Dialysis,260 6th Avenue Northwest,,JASPER,AL,35504,Walker,(205) 384-6919,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012534,8,BESSEMER KIDNEY CENTER,975 9TH AVE SW,SUITE 500,BESSEMER,AL,35022,Jefferson,(205) 424-3757,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012535,8,DaVita PDI-Prattville,600 Mcqueen Smith Road South,,PRATTVILLE,AL,36066,Autauga,(334) 358-1576,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012536,8,FMC MONTCLAIR,7780 Ludington Lane,,BIRMINGHAM,AL,35210,Jefferson,(205) 957-1010,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012537,8,FMC PRICHARD,4016 St Stevens Road,,WHISTLER,AL,36612,Mobile,(251) 330-1623,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012538,8,RCG ANDALUSIA,1208 WEST BYPASS,,ANDALUSIA,AL,36420,Covington,(334) 427-0147,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012540,8,FMC MONROEVILLE (WHETSTONE),676 S ALABAMA AVE,,MONROEVILLE,AL,36460,Monroe,(251) 575-3452,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012541,8,FMC DADEVILLE,52 WATERWORKS RD,,DADEVILLE,AL,36853,Tallapoosa,(256) 825-2740,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012542,8,DaVita Rainbow City Dialysis,2800 RAINBOW DRIVE,,RAINBOW CITY,AL,35906,Etowah,(256) 413-3245,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012543,8,DaVita Demopolis Dialysis,305 South Cedar Avenue,,Demopolis,AL,36732,Marengo,(334) 289-1394,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012544,8,DaVita Ozark Dialysis,195 BUNTING DRIVE,,OZARK,AL,36360,Dale,(334) 774-1410,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012545,8,DaVita Tuscaloosa Dialysis,805 OLD MILL STREET,,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 752-6363,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012546,8,FMC TUSKEGEE,802 E. MARTIN LUTHER KING HWY,,TUSKEGEE,AL,36083,Macon,(334) 727-9447,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,19,10,71,83,3,40,13,47,66,1,21,79,79,3,11,34,55,84,4,40,31,29,70,1,35,30,35,71,1,33,2,41
012547,8,FMC EASTERN SHORE,124 PROFESSIONAL PARK DR,,FAIRHOPE,AL,36532,Baldwin,(251) 928-7835,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,19,14,67,80,3,27,19,54,72,2,25,75,75,2,17,30,53,81,3,26,33,41,75,1,30,29,41,72,1,42,2,32
012548,8,DaVita Fayette Dialysis,2450 TEMPLE AVE N,,FAYETTE,AL,35555,Fayette,(205) 932-8500,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012550,8,DaVita Greene County Dialysis,544 HIGHWAY 43,,EUTAW,AL,35462,Greene,(205) 372-4000,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012551,8,DaVita Sheffield Dialysis,1120 S JACKSON HWY STE 107,,SHEFFIELD,AL,35660,Colbert,(256) 381-8004,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012552,8,FMC Azalea City,65 NORTH CATHERINE STREET,,MOBILE,AL,36604,Mobile,(251) 441-0868,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012553,8,DaVita PDI-Elmore County,125 HOSPITAL DRIVE,,WETUMPKA,AL,36092,Elmore,(334) 514-2037,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012556,8,FMC Pell City,7067 VETERANS PKWY SUITE 120,,PELL CITY,AL,35125,Saint Clair,(205) 338-4515,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012558,8,DCI DECATUR,1601 6TH AVENUE SOUTH EAST,,DECATUR,AL,35601,Morgan,(256) 350-8882,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012559,8,FMC UNIVERSITY SOUTH ALABAMA,700 CLINIC DRIVE,,MOBILE,AL,36688,Mobile,(251) 460-6797,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012561,8,FKC Arab,310 South Brindlee Mountain Parkway,,Arab,AL,35016,Marshall,(256) 640-8283,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012562,8,DCI PELL CITY,62 COGSWELL DRIVE,,PELL CITY,AL,35125,Saint Clair,(205) 884-4240,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012563,8,DCI CULLMAN,1734 EVA ROAD NE,,CULLMAN,AL,35055,Cullman,(256) 734-3055,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,001,9,9,82,91,5,5,11,84,93,5,9,91,91,5,3,19,78,93,5,0,12,88,96,5,0,4,96,99,5,32,5,34
012565,8,zz_closed_DaVita South Baldwin Dialysis Center,150 W PEACHTREE AVE,,FOLEY,AL,36535,Baldwin,(251) 943-4155,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012566,8,FMC SYLACAUGA,314 WEST SPRING STREET,,SYLACAUGA,AL,35150,Talladega,(256) 249-9660,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012568,8,FMC PARKWAY,1311 N MEMORIAL PKWY STE 100,,HUNTSVILLE,AL,35801,Madison,(256) 536-5563,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012570,8,DaVita Northport Dialysis,2401 HOSPITAL DRIVE,,NORTHPORT,AL,35476,Tuscaloosa,(659) 239-6174,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,29,18,53,72,2,26,15,59,76,3,25,75,75,2,32,23,45,77,2,20,25,55,80,2,25,19,56,80,2,31,2,27
012572,8,FMC CAMELLIA,350 PAUL STABLER DRIVE,,GREENVILLE,AL,36037,Butler,(334) 383-0006,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,19,9,72,83,3,23,17,60,78,3,21,79,79,3,10,39,51,87,4,10,30,60,87,3,8,23,69,89,3,35,3,28
012573,8,DCI BIRMINGHAM,8713 PARKWAY EAST,,BIRMINGHAM,AL,35206,Jefferson,(205) 838-5400,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012575,8,RCG WALKER,3510 3RD STREET NE,,JASPER,AL,35504,Walker,(205) 221-8775,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012576,8,DCI MONTGOMERY,544 SOUTH MCDONOUGH STREET,,MONTGOMERY,AL,36104,Montgomery,(334) 265-9190,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012579,8,FMC DAUPHIN ISLAND PKWY,2381 DAUPHIN ISLAND PARKWAY,,MOBILE,AL,36605,Mobile,(251) 471-2505,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012580,8,FMC THOMASVILLE,30230 HWY 43,,THOMASVILLE,AL,36784,Clarke,(334) 636-1411,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012582,8,FMC WILCOX,229 CAMDEN BYPASS,,CAMDEN,AL,36726,Wilcox,(334) 682-5030,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012585,8,DaVita Ensley Dialysis,2630 AVENUE E,,BIRMINGHAM,AL,35218,Jefferson,(205) 786-1371,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012588,8,DaVita Sylacauga Dialysis,331 JAMES PAYTON BLVD,,SYLACAUGA,AL,35150,Talladega,(256) 249-4994,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012589,8,DaVita Birmingham North Dialysis,1917 32ND AVENUE NORTH,,BIRMINGHAM,AL,35207,Jefferson,(205) 297-9052,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012590,8,DCI MOULTON,1962 MAIN STREET,,MOULTON,AL,35650,Lawrence,(256) 974-1400,Non-profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012591,8,FKC Shelby,1010 First Street North,Suite 100,Alabaster,AL,35007,Shelby,(205) 728-6286,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012592,8,DaVita Birmingham Central Dialysis,728 RICHARD ARRINGTON JR BLVD S,,BIRMINGHAM,AL,35233,Jefferson,(205) 250-6760,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,41,17,42,61,1,24,19,57,76,3,19,81,81,4,40,32,28,63,1,19,35,46,80,2,23,34,43,79,2,35,2,38
012593,8,FMC ODYSSEY DIALYSIS,40 HUGHES ROAD,,MADISON,AL,35758,Madison,(256) 772-4435,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012594,8,DaVita Boaz Dialysis,16 CENTRAL HENDERSON ROAD,,BOAZ,AL,35957,Marshall,(256) 840-5931,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012595,8,RCG FORT PAYNE,2202 JORDAN ROAD SW,SUITE 100,FORT PAYNE,AL,35968,DeKalb,(256) 845-9979,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,25,16,59,75,2,17,25,58,78,3,28,72,72,1,25,16,59,81,3,11,28,61,82,2,9,23,68,85,3,32,2,35
012596,8,FKC MONTGOMERY,3625 McGehee Place Drive North,,Montgomery,AL,36111,Montgomery,(334) 286-3766,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,25,9,66,77,2,36,15,49,67,1,31,69,69,1,17,40,43,77,2,30,42,28,72,1,31,32,37,74,1,41,1,23
012597,8,FMC BAY MINETTE,2505 HAND AVENUE,,BAY MINETTE,AL,36507,Baldwin,(251) 580-4448,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012598,8,DCI PHENIX CITY,1611 21st COURT,,PHENIX CITY,AL,36867,Russell,(334) 448-4840,Profit,Yes,"Dialysis Clinic, Inc.",21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012599,8,FMC PORT CITY,"201 ST. JOSEPH STREET, SUITE B",,MOBILE,AL,36602,Mobile,(251) 652-1025,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,30,17,53,71,2,26,18,56,72,2,25,75,75,2,21,34,45,76,2,13,33,54,82,2,17,35,48,80,2,38,2,34
012600,8,DaVita Atmore Dialysis Center,807 EAST CRAIG STREET,,ATMORE,AL,36502,Escambia,(251) 368-5593,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012602,8,DaVita Russellville Dialysis,14897 HWY 43,,RUSSELLVILLE,AL,35653,Franklin,(256) 332-7044,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012603,8,FMC FAIRFIELD (STEEL CITY),6508 E. J. OLIVER BLVD,,FAIRFIELD,AL,35064,Jefferson,(205) 780-5122,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012604,8,RCG CLANTON,275 HEALTH CENTER DRIVE,,CLANTON,AL,35045,Chilton,(205) 280-4331,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012606,8,FMC CHASE,1849 KEATS DRIVE NORTHWEST,,HUNTSVILLE,AL,35810,Madison,(256) 852-8900,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012607,8,ROANOKE DIALYSIS CLINIC,4459 US HIGHWAY 431,,ROANOKE,AL,36274,Randolph,(334) 777-5127,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012608,8,RCG ONEONTA,"150 GILBREATH DRIVE, SUITE 1",,ONEONTA,AL,35121,Blount,(205) 625-6903,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012609,8,DaVita Eufaula Dialysis,220 SOUTH ORANGE AVE,,EUFAULA,AL,36027,Barbour,(334) 688-0806,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012610,8,FMC MAGNOLIA,7940 Moffett Road,,SEMMES,AL,36575,Mobile,(251) 649-6343,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012611,8,FMC DALLAS COUNTY,200 SOUTH PARK PL,,SELMA,AL,36701,Dallas,(334) 872-8460,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012612,8,FMC GARDENDALE,592 FIELDSTOWN ROAD,SUITE 102,GARDENDALE,AL,35071,Jefferson,(205) 608-3653,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012613,8,FMC DISCOVERY,"1131 EAGLETREE LN, STE100",,HUNTSVILLE,AL,35801,Madison,(256) 489-4160,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012614,8,FMC VALLEY CREEK,201 LINCOLN LANE,,SELMA,AL,36701,Dallas,(334) 875-5436,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012615,8,FMC AUBURN,211 E UNIVERSITY DR,,AUBURN,AL,36832,Lee,(334) 501-8890,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,20,12,68,80,3,19,16,65,79,3,28,72,72,1,12,35,53,82,3,11,25,64,87,3,9,27,64,87,3,33,3,23
012616,8,LANDMARK DIALYSIS,717 STONE AVE,,TALLADEGA,AL,35160,Talladega,(256) 362-4449,Non-profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
