"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Total Performance Score","State Average Total Performance Score","National Average Total Performance Score","Payment Reduction Percentage"
"032542 ARCADIA DIALYSIS CENTER (FMC)","032542","-","4021 N. 30TH STREET","PHOENIX","AZ","85016","Network 15","68","64","64","0.0%"
"032544 LAKE HAVASU DIALYSIS (FMC)","032544","-","2145 MESQUITE AVE","LAKE HAVASU CITY","AZ","86403","Network 15","70","64","64","0.0%"
"032545 SOUTH MOUNTAIN DIALYSIS CENTER (FMC)","032545","-","26 E BASELINE STE 142","PHOENIX","AZ","85042","Network 15","54","64","64","0.5%"
"032546 SUN CITY WEST DIALYSIS (FMC)","032546","-","12213 W BELL ROAD STE 110","SURPRISE","AZ","85374","Network 15","53","64","64","0.5%"
"032549 SAFFORD DIALYSIS (FMC)","032549","-","1250 S 20TH AVE","SAFFORD","AZ","85546","Network 15","83","64","64","0.0%"
"032550 NORTH PHOENIX DIALYSIS (FMC)","032550","-","1957 W DUNLAP AVE STE 6C","PHOENIX","AZ","85021","Network 15","70","64","64","0.0%"
"032551 USRC MESA DIALYSIS","032551","-","1337 S GILBERT RD STE 109","MESA","AZ","85204","Network 15","47","64","64","0.5%"
"032558 BULLHEAD CITY DIALYSIS (FMC)","032558","-","2650 MIRACLE MILE","BULLHEAD CITY","AZ","86442","Network 15","54","64","64","0.5%"
"032561 CASA GRANDE DIALYSIS (FMC)","032561","-","1875 E SABIN DR","CASA GRANDE","AZ","85122","Network 15","60","64","64","0.0%"
"032563 SCOTTSDALE DIALYSIS (FMC)","032563","-","1495 N HAYDEN STE D1-D4","SCOTTSDALE","AZ","85257","Network 15","65","64","64","0.0%"
"032564 MARYVALE DIALYSIS (FMC)","032564","-","4502 W INDIAN SCHOOL RD STE A4-11","PHOENIX","AZ","85031","Network 15","59","64","64","0.0%"
"032565 DESERT DIALYSIS CENTER SOUTH TUCSON (DCI)","032565","-","1011 E PENNSYLVANIA ST","TUCSON","AZ","85719","Network 15","67","64","64","0.0%"
"032568 RED MOUNTAIN DIALYSIS (FMC)","032568","-","1211 N COUNTRY CLUB DR STE 4","MESA","AZ","85201","Network 15","63","64","64","0.0%"
"032571 NORTH SCOTTSDALE DIALYSIS (FMC)","032571","-","16101 N 82ND ST STE 6-7","SCOTTSDALE","AZ","85260","Network 15","65","64","64","0.0%"
"032575 SHOW LOW DIALYSIS (FMC)","032575","-","1500 S WHITE MOUNTAIN BLVD STE 204","SHOW LOW","AZ","85901","Network 15","65","64","64","0.0%"
"032577 YAVAPAI DIALYSIS (FMC)","032577","-","3605 RANCH DR","PRESCOTT","AZ","86303","Network 15","80","64","64","0.0%"
"032578 APACHE JUNCTION DIALYSIS (FMC)","032578","-","11540 E UNIVERSITY DR STE 109","APACHE JUNCTION","AZ","85120","Network 15","76","64","64","0.0%"
"032579 SUN LAKES DIALYSIS (FMC)","032579","-","9666 E RIGGS RD STE 143","SUN LAKES","AZ","85248","Network 15","70","64","64","0.0%"
"032580 PALM VALLEY DIALYSIS (FMC)","032580","-","13657 W MCDOWELL RD STE 106","GOODYEAR","AZ","85338","Network 15","72","64","64","0.0%"
"032583 USRC SOUTH PHOENIX","032583","-","4621 S CENTRAL AVE","PHOENIX","AZ","85040","Network 15","57","64","64","0.0%"
"032587 DEER VALLEY DIALYSIS (FMC)","032587","-","21241 N 23RD AVE STE 11","PHOENIX","AZ","85027","Network 15","63","64","64","0.0%"
"032593 GRANITE VALLEY DIALYSIS (FMC)","032593","-","14510 W SHUMWAY DR STE 100","SUN CITY WEST","AZ","85375","Network 15","43","64","64","1.0%"
"032594 SALT RIVER DIALYSIS CENTER (FMC)","032594","-","10301 E OSBORN RD BLDG 14","SCOTTSDALE","AZ","85256","Network 15","64","64","64","0.0%"
"032596 USRC NORTHEAST PHOENIX","032596","-","3305 E GREENWAY RD STE 1","PHOENIX","AZ","85032","Network 15","61","64","64","0.0%"
"032597 SAN CARLOS DIALYSIS (FMC)","032597","-","US 70 & AZ ROUTE 170","PERIDOT","AZ","85542","Network 15","74","64","64","0.0%"
"032598 MAMMOTH DIALYSIS (FMC)","032598","-","14786 S HIGHWAY 77 - POB 729","MAMMOTH","AZ","85618","Network 15","65","64","64","0.0%"
"032599 AHWATUKEE DIALYSIS (FMC)","032599","-","15930 48TH STREET","PHOENIX","AZ","85048","Network 15","78","64","64","0.0%"
"032607 AVONDALE DIALYSIS (FMC)","032607","-","10750 W MCDOWELL RD STE E500","AVONDALE","AZ","85323","Network 15","65","64","64","0.0%"
"032608 AVONDALE DIALYSIS (DSI)","032608","-","13055 W MCDOWELL RD STE F101","AVONDALE","AZ","85392","Network 15","64","64","64","0.0%"
"032610 SOUTHEAST VALLEY DIALYSIS (FMC)","032610","-","22715 S ELLSWORTH RD STE D","QUEEN CREEK","AZ","85142","Network 15","60","64","64","0.0%"
"032613 NORTHWEST TUCSON DIALYSIS (FMC)","032613","-","6261 N LA CHOLLA BLVD STE 181","TUCSON","AZ","85741","Network 15","60","64","64","0.0%"
"032614 DOUGLAS DIALYSIS CENTER (DCI)","032614","-","99 E 16TH ST","DOUGLAS","AZ","85607","Network 15","59","64","64","0.0%"
"032616 DESERT DIALYSIS SAHUARITA (DCI)","032616","-","1700 W COMMERCE POINTE PL","SAHUARITA","AZ","85629","Network 15","58","64","64","0.0%"
"032617 TUCSON WEST DIALYSIS CENTER (FMC)","032617","-","100 W GRANT RD","TUCSON","AZ","85705","Network 15","60","64","64","0.0%"
"032622 GOODYEAR DIALYSIS (FMC)","032622","-","500 N BULLARD AVE STE C34","GOODYEAR","AZ","85338","Network 15","69","64","64","0.0%"
"032626 MIDVALE PARK DIALYSIS (FMC)","032626","-","1430 W VALENCIA RD STE 1","TUCSON","AZ","85746","Network 15","63","64","64","0.0%"
"032628 KINGMAN DIALYSIS CLINIC (FMC)","032628","-","1721 AIRWAY AVE","KINGMAN","AZ","86409","Network 15","46","64","64","1.0%"
"032629 SOUTH TUCSON DIALYSIS (FMC)","032629","-","2802 SOUTH 6TH AVE","TUCSON","AZ","85713","Network 15","68","64","64","0.0%"
"032633 SANTAN DIALYSIS (FMC)","032633","-","300 W HIGHWAY 287","FLORENCE","AZ","85132","Network 15","72","64","64","0.0%"
"032635 GILBERT DIALYSIS (FMC)","032635","-","3511 MERCY RD STE 101","GILBERT","AZ","85297","Network 15","84","64","64","0.0%"
"032636 US Renal Care Flagstaff Dialysis","032636","-","2268 N WALGREENS ST","FLAGSTAFF","AZ","86004","Network 15","59","64","64","0.0%"
"032639 ESTRELLA MOUNTAIN DIALYSIS, LLC (ARA)","032639","-","9250 WEST THOMAS ROAD","PHOENIX","AZ","85037","Network 15","52","64","64","0.5%"
"032643 EAST TUCSON (FMC)","032643","-","5555 E 5TH ST #155","TUCSON","AZ","85711","Network 15","64","64","64","0.0%"
"032646-FMC-GLENDALE TOWN CENTER","032646","-","4407 WEST PEORIA AVE","GLENDALE","AZ","85302","Network 15","49","64","64","0.5%"
"032647-FMC NORTH MOUNTAIN","032647","-","16605 NORTH 28TH AVENUE","PHOENIX","AZ","85053","Network 15","59","64","64","0.0%"
"032648-FMC OLD TOWN SCOTTSDALE","032648","-","4141 N SCOTTSDALE RD","SCOTTSDALE","AZ","85251","Network 15","75","64","64","0.0%"
"032650 Fresenius Kidney Care Desert Sage","032650","-","4901 W MCDOWELL ROAD","PHOENIX","AZ","85035","Network 15","65","64","64","0.0%"
"032653-Fresenius Kidney Care Westgate Home","032653","-","6622 N 91ST AVENUE","Glendale","AZ","85305","Network 15","73","64","64","0.0%"
"032654-Fresenius Kidney Care Canyon Vista","032654","-","5555 MESA VERDE DR","Sierra Vista","AZ","85635","Network 15","49","64","64","0.5%"
"032656-Fresenius Kidney Care Westgate","032656","-","6622 N 91ST AVE","Glendale","AZ","85305","Network 15","85","64","64","0.0%"
"032661-Fresenius Kidney Care Gateway","032661","-","450 SOUTH GILBERT ROAD","Chandler","AZ","85225","Network 15","60","64","64","0.0%"
"033503 GILA RIVER DIALYSIS WEST","033503","-","9721 WEST PECOS RD- RR2, BOX 807","LAVEEN","AZ","85339","Network 15","79","64","64","0.0%"
"033504 GLENDALE FAMILY HEALTH CENTER - DIALYSIS","033504","-","8088 W WHITNEY DRIVE","Peoria","AZ","85345","Network 15","69","64","64","0.0%"
"062303 UNIVERSITY OF CO HOSPITAL - HOME DIALYSIS","062303","060024","12605 E. 16TH AVE","AURORA","CO","80045","Network 15","55","72","64","0.5%"
"062311 THE CHILDRENS HOSPITAL KIDNEY CTR.","062311","063301","13123 E 16TH AVE #328","AURORA","CO","80045","Network 15","42","72","64","1.0%"
"062315 Heart of the Rockies Regional Dialysis Center","062315","061322","1000 RUSH DRIVE","SALIDA","CO","81201","Network 15","72","72","64","0.0%"
"062501 ROCKY MOUNTAIN DIALYSIS (FMC)","062501","-","4600 HALE PKWY STE 120","DENVER","CO","80220","Network 15","70","72","64","0.0%"
"062505 NORTHERN COLORADO KIDNEY CENTER (FMC)","062505","-","2107 S. TIMBERLINE RD","FORT COLLINS","CO","80525","Network 15","84","72","64","0.0%"
"062510 GREELEY DIALYSIS (FMC)","062510","-","2343 W 27TH ST STE 503","GREELEY","CO","80634","Network 15","87","72","64","0.0%"
"062520 PUEBLO DIALYSIS (FMC)","062520","-","41 MONTEBELLO RD STE 102","PUEBLO","CO","81001","Network 15","66","72","64","0.0%"
"062522 CANON CITY DIALYSIS (FMC)","062522","-","2245 FREMONT DR","CANON CITY","CO","81212","Network 15","68","72","64","0.0%"
"062523 LOVELAND DIALYSIS (FMC)","062523","-","2940 GINNALA DR","LOVELAND","CO","80538","Network 15","75","72","64","0.0%"
"062525 LA JUNTA DIALYSIS (FMC)","062525","-","1012 HAYES AVE","La Junta","CO","81050","Network 15","74","72","64","0.0%"
"062526 WALSENBURG DIALYSIS (FMC)","062526","-","23450 HIGHWAY 160","WALSENBURG","CO","81089","Network 15","72","72","64","0.0%"
"062527 NORTHEAST DENVER DIALYSIS (FKC)","062527","-","590 LAREDO ST","Aurora","CO","80017","Network 15","86","72","64","0.0%"
"062530 MONTROSE DIALYSIS (DCI)","062530","-","846 SOUTH 5TH STREET","MONTROSE","CO","81401","Network 15","72","72","64","0.0%"
"062536 LAMAR DIALYSIS (FMC)","062536","-","108 WEST LEE AVE","LAMAR","CO","81052","Network 15","88","72","64","0.0%"
"062537 PUEBLO SOUTH DIALYSIS (FMC)","062537","-","3426 LAKE AVENUE STE 110","PUEBLO","CO","81004","Network 15","79","72","64","0.0%"
"062538 GRAND JUNCTION DIALYSIS (DCI)","062538","-","2748 CROSSROADS BLVD","GRAND JUNCTION","CO","81506","Network 15","79","72","64","0.0%"
"062545 AURORA DIALYSIS (FMC)","062545","-","962 POTOMAC CIR","AURORA","CO","80011","Network 15","85","72","64","0.0%"
"062548 STAPLETON DIALYSIS (FMC)","062548","-","7606 E 36TH AVE","DENVER","CO","80238","Network 15","86","72","64","0.0%"
"062554 KIDNEY CENTER OF ARVADA (ARA)","062554","-","5265 VANCE ST","ARVADA","CO","80002","Network 15","74","72","64","0.0%"
"062555 KIDNEY CENTER OF LAFAYETTE (ARA)","062555","-","2655 CRESCENT DR STE C","LAFAYETTE","CO","80026","Network 15","70","72","64","0.0%"
"062556 KIDNEY CENTER OF LAKEWOOD (ARA)","062556","-","6166 W ALAMEDA AVE","DENVER","CO","80226","Network 15","82","72","64","0.0%"
"062557 KIDNEY CENTER OF LONGMONT (ARA)","062557","-","1960 KEN PRATT BLVD STE A","LONGMONT","CO","80501","Network 15","76","72","64","0.0%"
"062558 KIDNEY CENTER OF WESTMINSTER (ARA)","062558","-","8410 DECATUR ST STE 200","WESTMINSTER","CO","80031","Network 15","60","72","64","0.0%"
"062560 LIBERTY DIALYSIS - PUEBLO","062560","-","850 EAGLERIDGE BLVD","PUEBLO","CO","81008","Network 15","82","72","64","0.0%"
"062563 LIBERTY DIALYSIS - COLORADO SPRINGS NORTH (FMC)","062563","-","2180 HOLLOWBROOK DR","COLORADO SPRINGS","CO","80918","Network 15","74","72","64","0.0%"
"062564 LIBERTY DIALYSIS - COLORADO SPRINGS SOUTH (FMC)","062564","-","2508 AIRPORT RD","COLORADO SPRINGS","CO","80909","Network 15","72","72","64","0.0%"
"062566 LIBERTY DIALYSIS COLORADO SPRINGS CENTRAL (FMC)","062566","-","1910 E LELARAY ST","COLORADO SPRINGS","CO","80909","Network 15","65","72","64","0.0%"
"062568 PUEBLO WEST DIALYSIS (FMC)","062568","-","73 N ASPEN SKI WAY","PUEBLO WEST","CO","81007","Network 15","92","72","64","0.0%"
"062570 KIDNEY CENTER OF BEAR CREEK (ARA)","062570","-","11058 WEST JEWELL AVE","LAKEWOOD","CO","80232","Network 15","74","72","64","0.0%"
"062575 PAVILION DIALYSIS (FMC)","062575","-","723 DELAWARE ST #M105","DENVER","CO","80204","Network 15","57","72","64","0.0%"
"062578 -  WEST HAMPDEN DIALYSIS (FMC)","062578","-","750 WEST HAMPDEN AVE #110","ENGLEWOOD","CO","80110","Network 15","77","72","64","0.0%"
"062580 NORTHERN COLORADO HOME THERAPY DIALYSIS (FMC)","062580","-","5285 MCWHINNEY BLVD #190","LOVELAND","CO","80538","Network 15","73","72","64","0.0%"
"062581 KIDNEY CENTER OF NORTHRIDGE (ARA)","062581","-","1865 W 121ST AVE, STE 300C","Westminster","CO","80234","Network 15","64","72","64","0.0%"
"062583 PARKER KIDNEY CENTER (ARA)","062583","-","18320 E COTTONWOOD DR STE C","PARKER","CO","80138","Network 15","80","72","64","0.0%"
"062584 SOUTH DENVER DIALYSIS (FMC)","062584","-","3410 S GALENA ST SUITE 100","DENVER","CO","80231","Network 15","69","72","64","0.0%"
"062585 NORTH GREELEY DIALYSIS (FMC)","062585","-","1212 9TH ST","GREELEY","CO","80631","Network 15","85","72","64","0.0%"
"062587 KIDNEY CENTER OF WHEAT RIDGE (ARA)","062587","-","6920 W 38TH AVE","WHEAT RIDGE","CO","80033","Network 15","93","72","64","0.0%"
"062589-KIDNEY CENTER OF THE ROCKIES","062589","-","50 BUCK CREEK ROAD","AVON","CO","81620","Network 15","78","72","64","0.0%"
"062590-KIDNEY CENTER OF FREDERICK","062590","-","5992 IRIS PARKWAY","LONGMONT","CO","80504","Network 15","79","72","64","0.0%"
"062593-Fresenius Medical Care Dialyis Services Colora","062593","-","1526 OAKRIDGE DR","Fort Collins","CO","80525","Network 15","79","72","64","0.0%"
"062594-Liberty Dialysis-Colorado Springs West","062594","-","3326 CENTENNIAL BLVD","Colorado Springs","CO","80907","Network 15","54","72","64","0.5%"
"062595-Fresenius Kidney Care Castle Rock Dialysis","062595","-","4352 TRAIL BOSS DRIVE","Castle Rock","CO","80104","Network 15","70","72","64","0.0%"
"292500 DESERT INN DIALYSIS (FMC)","292500","-","2545 S BRUCE ST, STE 100","LAS VEGAS","NV","89169","Network 15","47","59","64","0.5%"
"292506 NORTHWEST LAS VEGAS DIALYSIS (FMC)","292506","-","3150 N TENAYA WAY STE 110","LAS VEGAS","NV","89128","Network 15","59","59","64","0.0%"
"292508 CARSON CITY DIALYSIS (DCI)","292508","-","778 BASQUE WAY","CARSON CITY","NV","89706","Network 15","63","59","64","0.0%"
"292513 SOUTH PECOS (FMC)","292513","-","6330 S PECOS STE 110","LAS VEGAS","NV","89120","Network 15","54","59","64","0.5%"
"292516 ELKO DIALYSIS (DCI)","292516","-","1995 ERRECART BLVD STE 100","ELKO","NV","89801","Network 15","83","59","64","0.0%"
"292519 LAKE MEAD NORTH (FMC)","292519","-","1581 MOUNT MARIAH DRIVE","LAS VEGAS","NV","89106","Network 15","51","59","64","0.5%"
"292523 RED MOON DIALYSIS","292523","-","900 S MAIN ST","LAS VEGAS","NV","89101","Network 15","21","59","64","2.0%"
"292527 FIRE MESA DIALYSIS (FMC)","292527","-","2450 FIRE MESA ST","Las Vegas","NV","89128","Network 15","49","59","64","0.5%"
"292529 SOUTH RAINBOW DIALYSIS (FMC)","292529","-","7040 W SUNSET RD","LAS VEGAS","NV","89113","Network 15","54","59","64","0.5%"
"292532 DESERT VALLEY DIALYSIS","292532","-","350 FALCON RIDGE PKWY STE 104","MESQUITE","NV","89027","Network 15","69","59","64","0.0%"
"292533 LIBERTY DIALYSIS - RENO HOME DIALYSIS","292533","-","601 SIERRA ROSE DR STE 201","RENO","NV","89511","Network 15","85","59","64","0.0%"
"292535 GARDNERVILLE DIALYSIS (DCI)","292535","-","1281 KIMMERLING RD STE A1","GARDNERVILLE","NV","89460","Network 15","80","59","64","0.0%"
"292537 LIBERTY DIALYSIS - SOUTH RENO","292537","-","601 SIERRA ROSE DR STE 101","RENO","NV","89511","Network 15","80","59","64","0.0%"
"292540 LIBERTY DIALYSIS - CARSON CITY","292540","-","4500 S CARSON ST","CARSON CITY","NV","89701","Network 15","83","59","64","0.0%"
"292541 LIBERTY DIALYSIS - NORTHWEST RENO","292541","-","6144 MAE ANNE AVE","RENO","NV","89523","Network 15","70","59","64","0.0%"
"292542 CENTENNIAL DIALYSIS (FMC)","292542","-","7465 W AZURE DR STE 1A","LAS VEGAS","NV","89130","Network 15","56","59","64","0.5%"
"292543 LIBERTY DIALYSIS - LAS VEGAS (FMC)","292543","-","6970 W PATRICK LN STE 100B","LAS VEGAS","NV","89113","Network 15","66","59","64","0.0%"
"292544 WEST SAHARA DIALYSIS (FMC)","292544","-","7710 WEST SAHARA AVE STE 120","LAS VEGAS","NV","89117","Network 15","61","59","64","0.0%"
"292545 LIBERTY DIALYSIS - SPARKS (FMC)","292545","-","5915 S LOS ALTOS PKWY","SPARKS","NV","89436","Network 15","82","59","64","0.0%"
"292549 NORTHEAST LAS VEGAS (FMC)","292549","-","321 N. NELLIS BLVD SUITE 120","LAS VEGAS","NV","89110","Network 15","48","59","64","0.5%"
"292550 SANDERLING DIALYSIS CENTER","292550","-","701 E 15TH ST","ELY","NV","89301","Network 15","60","59","64","0.0%"
"292551 FMC-Oasis","292551","-","1661 W HORIZON RIDGE PARKWAY","HENDERSON","NV","89012","Network 15","63","59","64","0.0%"
"292556-American Dialysis Centers North Las Vegas LLC","292556","-","4107 W CHEYENNE AVENUE","North Las Vegas","NV","89032","Network 15","30","59","64","1.5%"
"292557-Sahara Dialysis Center","292557","-","2350 STOCKTON AVENUE","Las Vegas","NV","89104","Network 15","54","59","64","0.5%"
"322310 UNM PEDIATRIC DIALYSIS","322310","320001","2211 LOMAS BLVD NE BOX 256","ALBUQUERQUE","NM","87106","Network 15","33","71","64","1.5%"
"322500 NEW MEXICO ARTIFICIAL KIDNEY CENTER (FMC)","322500","-","1600 RANDOLPH SE STE 100","ALBUQUERQUE","NM","87106","Network 15","63","71","64","0.0%"
"322501 SANTA FE DIALYSIS (FMC)","322501","-","641 HARKLE RD","SANTA FE","NM","87505","Network 15","72","71","64","0.0%"
"322504 ALBUQUERQUE KIDNEY CENTER (FMC)","322504","-","11296 LOMAS BLVD NE","ALBUQUERQUE","NM","87112","Network 15","69","71","64","0.0%"
"322505 LAS CRUCES DIALYSIS (FMC)","322505","-","3875 FOOTHILLS RD","LAS CRUCES","NM","88011","Network 15","53","71","64","0.5%"
"322506 ALBUQUERQUE DIALYSIS (DCI)","322506","-","1500 INDIAN SCHOOL RD NE","ALBUQUERQUE","NM","87102","Network 15","66","71","64","0.0%"
"322507 SILVER CITY DIALYSIS (DCI)","322507","-","1310 SUNSET LN","SILVER CITY","NM","88061","Network 15","73","71","64","0.0%"
"322508 ALAMOGORDO DIALYSIS (FMC)","322508","-","2578 MEDICAL DR","ALAMOGORDO","NM","88310","Network 15","73","71","64","0.0%"
"322509 RIO RANCHO DIALYSIS (FMC)","322509","-","1760 GRANDE BLVD STE 100","RIO RANCHO","NM","87124","Network 15","72","71","64","0.0%"
"322510 GRANTS DIALYSIS (DCI)","322510","-","1213 BONITA ST","GRANTS","NM","87020","Network 15","91","71","64","0.0%"
"322511 CENTRAL NEW MEXICO KIDNEY CENTER (FMC)","322511","-","2800 PALMILLA RD","LOS LUNAS","NM","87031","Network 15","71","71","64","0.0%"
"322513 ESPANOLA DIALYSIS (FMC)","322513","-","1420 CALLE DE LA MERCED","ESPANOLA","NM","87532","Network 15","78","71","64","0.0%"
"322514 TAOS DIALYSIS (DCI)","322514","-","1335 MAESTAS RD","TAOS","NM","87571","Network 15","70","71","64","0.0%"
"322516 DEMING DIALYSIS (FMC)","322516","-","814 W ADOBE DR","DEMING","NM","88030","Network 15","75","71","64","0.0%"
"322518 LAS VEGAS NM DIALYSIS (FMC)","322518","-","246 MILLS AVE","LAS VEGAS","NM","87701","Network 15","82","71","64","0.0%"
"322519 SOUTHEASTERN NM KIDNEY CENTER (FMC)","322519","-","2801 N MAIN SUITE H","ROSWELL","NM","88201","Network 15","60","71","64","0.0%"
"322520 RIO RANCHO DIALYSIS (DCI)","322520","-","4045 JACKIE RD SE","RIO RANCHO","NM","87124","Network 15","83","71","64","0.0%"
"322521 HOBBS DIALYSIS (FMC)","322521","-","2827 N DAL PASO STE 105","HOBBS","NM","88240","Network 15","85","71","64","0.0%"
"322522 CARLSBAD DIALYSIS (DCI)","322522","320063","2319 OSBORNE RD","CARLSBAD","NM","88220","Network 15","90","71","64","0.0%"
"322523 NORTH ALBUQUERQUE DIALYSIS CENTER (FMC)","322523","-","5200 SAN MATEO BLVD NE","Albuquerque","NM","87109","Network 15","75","71","64","0.0%"
"322524 ACL DIALYSIS (DCI)","322524","-","I-40 EXIT 102","SAN FIDEL","NM","87049","Network 15","75","71","64","0.0%"
"322526 RATON DIALYSIS (DCI)","322526","-","900 S SIXTH ST","RATON","NM","87740","Network 15","80","71","64","0.0%"
"322528 LAS CRUCES SOUTH DIALYSIS (FMC)","322528","-","2525 S TELSHOR BLVD STE B","LAS CRUCES","NM","88011","Network 15","66","71","64","0.0%"
"322529 CARLSBAD DIALYSIS (FMC)","322529","-","902 A WEST PIERCE","CARLSBAD","NM","88220","Network 15","87","71","64","0.0%"
"322530 ALBUQUERQUE EAST (DCI)","322530","-","905 LOUISIANA BLVD NE","ALBUQUERQUE","NM","87110","Network 15","87","71","64","0.0%"
"322531 GIBSON DIALYSIS CENTER (FMC)","322531","-","5400 GIBSON BLVD SE","ALBUQUERQUE","NM","87108","Network 15","58","71","64","0.0%"
"322533 NORTH RIO RANCHO DIALYSIS (FMC)","322533","-","7555 ENCHANTED HILLS BLVD STE 102","RIO RANCHO","NM","87144","Network 15","78","71","64","0.0%"
"322538 SANTA FE HOME (FMC)","322538","-","2100 CALLE DE LA VUELTA, SUITE A101","SANTA FE","NM","87505","Network 15","77","71","64","0.0%"
"322539 SANTO DOMINGO PUEBLO (DCI)","322539","-","85 W HIGHWAY 22","SANTO DOMINGO PUEBLO","NM","87052","Network 15","76","71","64","0.0%"
"322540 RED ROCKS HOME DIALYSIS, LLC","322540","-","1801 RED ROCKS DR","GALLUP","NM","87301","Network 15","72","71","64","0.0%"
"322541 ALBUQUERQUE SOUTH (DCI)","322541","-","1725 ISLETA BLVD SW","ALBUQUERQUE","NM","87105","Network 15","71","71","64","0.0%"
"322542 Fresenius Kidney Care HOME DIALYSIS OF NEW MEXICO LLC","322542","-","700 LOMAS BLVD NE","ALBUQUERQUE","NM","87102","Network 15","71","71","64","0.0%"
"322543 CUBA DIALYSIS (DCI)","322543","-","14 EAST CORDOVA AVE","CUBA","NM","87103","Network 15","42","71","64","1.0%"
"322545 JICARILLA APACHE NATION DIALYSIS TREATMENT CENTER (FMC)","322545","-","450 N MUNDO DR","DULCE","NM","87528","Network 15","76","71","64","0.0%"
"322546 - LIBERTY ALBUQUERQUE DIALYSIS (FMC)","322546","-","3810 COMMONS AVE NE","ALBUQUERQUE","NM","87109","Network 15","83","71","64","0.0%"
"322547-The Kidney Care Center, LLC","322547","-","3921 N. CALLE GRANDE","HOBBS","NM","88240","Network 15","56","71","64","0.5%"
"322548 - LIBERTY RIO RANCHO (FMC)","322548","-","5751 MCMAHON BLVD NW","ALBUQUERQUE","NM","87114","Network 15","66","71","64","0.0%"
